#number;groundtruth;mba
43;(x | y);(((~ ((~ x) | y)) + y) | y)
44;(x | y);(~ ((~ (x & (~ (x & y)))) & (~ (x | y))))
45;(x | y);(~ ((~ (x | y)) & (~ ((x + (- y)) & y))))
46;(x | y);((x | (x & y)) | y)
47;(x | y);(x | (y & (~ (~ (y | (~ y))))))
48;(x | y);((~ ((~ x) | (~ (x | (~ y))))) | y)
49;(x | y);((- (~ x)) + ((~ (x & y)) + y))
50;(x | y);((x | y) | ((x | y) ^ y))
51;(x | y);(((x & (~ (x & y))) ^ y) | y)
52;(x | y);(((x + x) & y) | (x | y))
53;(x | y);(x + (((~ x) ^ (~ y)) & y))
54;(x | y);((x | (- (y | (- y)))) | y)
55;(x | y);(((- (~ x)) + (x | (~ x))) | y)
56;(x | y);((- x) + (~ (- (x + (- (~ (x | y)))))))
57;(x | y);((x & (x ^ y)) + y)
58;(x | y);(((- (~ (x | y))) + (~ y)) ^ y)
59;(x | y);((x | (~ (~ (x & (~ x))))) | y)
60;(x | y);(x | (x | ((- y) + (y + y))))
61;(x | y);(x | ((~ x) ^ (~ (x ^ y))))
62;(x | y);((x + (- (x + (- y)))) | (x ^ y))
63;(x | y);(~ (- ((- (~ (x & (~ y)))) + y)))
64;(x | y);(~ ((- x) + ((x & y) ^ (~ y))))
65;(x | y);((((x | y) | y) + (- y)) ^ y)
66;(x | y);(x | ((~ ((~ (x | y)) & y)) & y))
67;(x | y);((~ ((~ x) | (~ (x ^ y)))) + y)
68;(x | y);((- x) + (x + ((x ^ y) | y)))
69;(x | y);(x ^ (((- x) + (x | y)) & y))
70;(x | y);(x | ((x & (~ (- x))) | y))
71;(x | y);((~ ((x | y) ^ (~ y))) + y)
72;(x | y);((~ ((~ (x | (x ^ y))) | y)) ^ y)
73;(x | y);(x ^ (~ (x | ((~ x) ^ y))))
74;(x | y);((x | y) | (x & (~ y)))
75;(x | y);(~ (~ (x | (- ((x & y) + (- y))))))
76;(x | y);(~ (~ ((x | y) | (~ (x | (~ y))))))
77;(x | y);(~ ((~ x) & (~ ((x | y) | y))))
78;(x | y);(~ ((x ^ (~ x)) + (- (x | y))))
79;(x | y);(~ (~ (x | (x ^ (~ (~ (x | y)))))))
80;(x | y);((~ ((~ x) | (x & y))) ^ y)
81;(x | y);((x & ((~ (x & y)) ^ y)) | y)
82;(x | y);(~ ((~ (x | (y & (- y)))) & (~ y)))
83;(x | y);(x | ((~ y) + (- (~ (y + y)))))
84;(x | y);(~ ((~ (x + y)) + (x & y)))
85;(x | y);((~ ((~ ((x ^ y) | y)) | y)) ^ y)
86;(x | y);((~ (x | (~ x))) ^ (x | y))
87;(x | y);(x | (((x + y) + (- y)) | y))
88;(x | y);(~ ((~ x) & ((- y) + (~ (y & (~ y))))))
89;(x | y);((~ (x & (~ (x | y)))) ^ (~ (x | y)))
90;(x | y);(x + (((~ (x & y)) & y) & y))
91;(x | y);(~ ((x & y) + (- (x + (- (~ y))))))
92;(x | y);((- ((- x) + (~ (~ (x & y))))) | y)
93;(x | y);(x | ((~ (x & (~ (x & y)))) & y))
94;(x | y);((x | y) ^ ((~ (x | y)) & y))
95;(x | y);(((~ (~ (x | y))) & (~ y)) ^ y)
96;(x | y);(x | (((~ (x & y)) & y) & y))
97;(x | y);(x | ((- x) + (~ (~ (x | y)))))
98;(x | y);(x | ((~ ((~ (x | y)) | y)) + y))
99;(x | y);(~ (~ (x | ((~ (x | (~ x))) ^ y))))
100;(x | y);(~ (((- x) + (~ (- x))) & (~ (x | y))))
101;(x | y);(((~ ((~ x) & (~ y))) + (- y)) ^ y)
102;(x | y);((x | (x | (x & y))) | y)
103;(x | y);((~ (~ (x & (~ x)))) | (x | y))
104;(x | y);(~ (~ (x | (y | (y & (~ y))))))
105;(x | y);((- ((~ x) + (- (~ (x & y))))) + y)
106;(x | y);(~ ((~ (x & y)) & (~ (x | y))))
107;(x | y);(x | ((~ (x & y)) + (- (~ y))))
108;(x | y);(x | (~ ((~ ((~ x) | y)) | (~ y))))
109;(x | y);((- x) + (~ ((- x) + (~ (x | y)))))
110;(x | y);((~ (x | (~ (x | y)))) | (x | y))
111;(x | y);(~ ((- x) + (~ ((x ^ y) & y))))
112;(x | y);(((x | (x & y)) | y) | y)
113;(x | y);(((~ ((~ x) + (- x))) + (- x)) | y)
114;(x | y);(x | ((x & (x ^ y)) + y))
115;(x | y);((x ^ (~ x)) ^ (~ (x | y)))
116;(x | y);(~ ((((~ x) | y) | y) + (- y)))
117;(x | y);((~ (~ (x & (~ (x & y))))) ^ y)
118;(x | y);(x | (~ (~ ((x & (~ y)) | y))))
119;(x | y);(~ (~ ((~ (((~ x) | y) | y)) | y)))
120;(x | y);((x | y) | (y & (~ (- y))))
121;(x | y);(~ ((~ (x & (~ ((~ x) | y)))) & (~ y)))
122;(x | y);(x | ((~ (x ^ (~ x))) | y))
123;(x | y);((x | (x | y)) | (x | y))
124;(x | y);(x | (y ^ (y & (~ y))))
125;(x | y);(~ ((~ (x | y)) | (~ (y + (~ y)))))
126;(x | y);(x | (x ^ ((- x) + (x + y))))
127;(x | y);(x | (((x | y) | y) | y))
128;(x | y);((~ ((~ x) & (y + (~ y)))) | y)
129;(x | y);(x | ((x & (~ y)) + y))
130;(x | y);(x | (((x ^ y) ^ y) | y))
131;(x | y);((x ^ (~ ((~ (x & y)) | y))) | y)
132;(x | y);(((~ x) ^ (x + (~ x))) | y)
133;(x | y);(x | (~ ((~ (x & (- y))) & (~ y))))
134;(x | y);(~ (~ (x | (- (y + (- (y + y)))))))
135;(x | y);(x | ((~ ((~ x) | (- y))) | y))
136;(x | y);((x | (y & (- (~ y)))) | y)
137;(x | y);((x | (~ (x | (~ x)))) | y)
138;(x | y);(x | (x ^ (~ (~ (x | y)))))
139;(x | y);(x + (~ (((~ x) ^ y) | (~ y))))
140;(x | y);(x ^ (~ ((~ (~ (x & y))) | (~ y))))
141;(x | y);(~ ((~ x) & (~ (x + ((- x) + y)))))
142;(x | y);(~ ((~ x) & (y ^ (y | (~ y)))))
143;(x | y);(x + ((~ x) & (~ (x | (~ y)))))
144;(x | y);((~ ((x ^ (~ (x & y))) | y)) | y)
145;(x | y);(~ ((~ x) & (~ ((- x) + (x | y)))))
146;(x | y);(~ (~ (((~ (~ (x | y))) + (- y)) | y)))
147;(x | y);(~ (~ (x | ((~ (x & y)) ^ (~ y)))))
148;(x | y);(~ ((~ x) & (x ^ (~ (x | y)))))
149;(x | y);((~ x) ^ (~ ((x & y) ^ y)))
150;(x | y);(x + ((~ (x & y)) & y))
151;(x | y);((~ (~ (x | (x ^ y)))) | y)
152;(x | y);((x | y) | ((x ^ y) ^ y))
153;(x | y);(~ ((~ (x ^ y)) & (~ (x & y))))
154;(x | y);(- ((- (x ^ (x & y))) + (- y)))
155;(x | y);(((x & (x ^ y)) | y) | y)
156;(x | y);((x + (~ (y ^ (~ y)))) | y)
157;(x | y);((~ ((~ (x & (~ (x & y)))) | y)) ^ y)
158;(x | y);((((~ x) ^ y) | y) ^ (~ y))
159;(x | y);((x + ((- x) + (x ^ y))) | y)
160;(x | y);(((x + y) + (- y)) | y)
161;(x | y);(~ ((- (x & (~ x))) + (~ (x | y))))
162;(x | y);((~ ((~ (x & (~ y))) + (- y))) | y)
163;(x | y);((~ ((~ (x | y)) ^ y)) | y)
164;(x | y);(x | (x | (~ (~ (x | y)))))
165;(x | y);((x & (x & (x ^ y))) ^ y)
166;(x | y);(((~ ((~ x) & (~ y))) | y) | y)
167;(x | y);((- ((- x) + (x & y))) | y)
168;(x | y);((~ ((~ (x | y)) ^ y)) + y)
169;(x | y);((~ (~ (x | (x & (- y))))) | y)
170;(x | y);(~ ((~ x) + (- ((- x) + (x | y)))))
171;(x | y);((~ (x ^ (~ (x & (~ x))))) | y)
172;(x | y);(~ ((~ (x | y)) & (~ (x & (- y)))))
173;(x | y);(x | (~ ((~ x) ^ y)))
174;(x | y);(~ ((~ x) & (x | ((~ x) ^ y))))
175;(x | y);(~ ((~ x) & (~ y)))
176;(x | y);(x | ((x & (~ x)) ^ y))
177;(x | y);((~ ((~ (x | y)) & (~ y))) | y)
178;(x | y);(x + (- ((~ ((~ x) | (~ y))) + (- y))))
179;(x | y);(~ (~ (((~ x) ^ (~ y)) | y)))
180;(x | y);(((x & y) | (x ^ y)) | y)
181;(x | y);(x | ((x & (- y)) | y))
182;(x | y);((~ ((~ x) + (- (x | y)))) + (- x))
183;(x | y);(x | (y & (y ^ (~ y))))
184;(x | y);(x | ((((- x) + y) | y) & y))
185;(x | y);(x | ((~ (x & (- y))) ^ (~ y)))
186;(x | y);(x | ((~ (x & (~ x))) & y))
187;(x | y);(~ ((~ ((x | y) ^ y)) + (- y)))
188;(x | y);(((~ x) ^ (y + (~ y))) | y)
189;(x | y);(((~ x) ^ (~ (x & y))) + y)
190;(x | y);((x + ((- x) + (x | y))) | y)
191;(x | y);(x + (x ^ ((x ^ y) | y)))
192;(x | y);((~ x) ^ (x | (~ y)))
193;(x | y);((x | y) | (y & (- (~ y))))
194;(x | y);(x ^ ((- x) + (x | (x | y))))
195;(x | y);((x + (- ((x & y) + (- y)))) | y)
196;(x | y);(~ ((~ (x ^ (x & y))) & (~ y)))
197;(x | y);(~ ((~ (x & y)) & (x ^ (~ y))))
198;(x | y);((x | y) | (- (y | (- y))))
199;(x | y);(~ ((x | (~ x)) & (~ (x | y))))
200;(x | y);(x + (~ (x | (x ^ (~ (x | y))))))
201;(x | y);(~ ((~ x) & (x + (- (x + (- (~ y)))))))
202;(x | y);((x + (y & (~ y))) | y)
203;(x | y);(~ ((~ x) & ((x ^ (~ x)) ^ y)))
204;(x | y);((x & (~ (((- x) + y) & y))) | y)
205;(x | y);(x | (~ (x | (x | (~ (x | y))))))
206;(x | y);(~ ((~ (x | y)) & (~ (x | y))))
207;(x | y);(~ ((~ x) + (- ((x ^ y) & y))))
208;(x | y);(x + (~ (x | (x | (~ y)))))
209;(x | y);(x | ((~ (x & (x ^ y))) & y))
210;(x | y);((x ^ ((x + (- y)) & y)) | y)
211;(x | y);(~ (~ ((x | ((~ x) & y)) | y)))
212;(x | y);((~ ((x ^ (~ y)) | y)) + y)
213;(x | y);(x ^ (- ((- (~ x)) + (~ (x | y)))))
214;(x | y);(~ ((~ x) & ((~ x) & (~ y))))
215;(x | y);(~ ((~ (x | (~ x))) ^ (~ (x | y))))
216;(x | y);(~ ((x | y) ^ (y | (~ y))))
217;(x | y);(x | (x | y))
218;(x | y);(~ (~ (x | (~ (x | (x | (~ y)))))))
219;(x | y);(x | ((- (~ (x | (~ x)))) ^ y))
220;(x | y);(x ^ (~ ((x & y) | (~ y))))
221;(x | y);(~ (~ (x | (y & (y | (~ y))))))
222;(x | y);(x ^ (~ (x | (~ (~ (x | (~ y)))))))
223;(x | y);(~ ((~ ((x & y) & y)) & (~ (x | y))))
224;(x | y);(~ (- ((x & (~ y)) + (- (~ y)))))
225;(x | y);((x & ((~ x) ^ (~ y))) ^ y)
226;(x | y);(~ (((~ (x | y)) ^ y) & (~ y)))
227;(x | y);((x & (x + (~ (x | y)))) | y)
228;(x | y);(~ (~ (x | (x | (~ (x | (~ y)))))))
229;(x | y);(x | (x + (x ^ (x | y))))
230;(x | y);(~ (~ (x | (((- x) & y) | y))))
231;(x | y);(x | ((x ^ (~ x)) ^ (~ y)))
232;(x | y);(x | (y | (- (~ (y | (~ y))))))
233;(x | y);(~ (~ (x | (y ^ (y & (~ y))))))
234;(x | y);((~ ((~ (x & (~ y))) | y)) | y)
235;(x | y);(~ (~ (x | (~ (~ (x | y))))))
236;(x | y);((x & (~ ((x & y) | y))) | y)
237;(x | y);((x ^ y) | (~ (~ (x & y))))
238;(x | y);(~ ((~ (x | y)) & (~ (~ (x | (~ y))))))
239;(x | y);(~ (((~ x) ^ (x & y)) ^ y))
240;(x | y);(x | ((~ ((~ x) & (~ y))) | y))
241;(x | y);(((x ^ y) ^ y) | y)
242;(x | y);(~ ((~ ((x + x) & y)) & (~ (x | y))))
243;(x | y);(x | (- (x + (- (x | y)))))
244;(x | y);(~ ((~ x) & (x | (x | (~ y)))))
245;(x | y);(x | (~ ((- x) + (x + (~ y)))))
246;(x | y);(x ^ (~ (x | (x | (~ y)))))
247;(x | y);(x + ((- x) + ((x | y) | y)))
248;(x | y);(x | (~ ((~ x) + (- ((- x) + y)))))
249;(x | y);(~ ((~ ((x | y) + (- y))) & (~ y)))
250;(x | y);(~ ((x ^ (~ (x & y))) ^ y))
251;(x | y);(((x | (x ^ y)) ^ y) + y)
252;(x | y);(x | (~ (~ ((~ ((~ x) | y)) | y))))
253;(x | y);((~ (((~ x) | y) ^ y)) | y)
254;(x | y);((x & (~ (~ (x & (~ y))))) + y)
255;(x | y);(~ ((x ^ (~ ((~ x) & y))) & (~ y)))
256;(x | y);(x | (((~ x) | (~ y)) & y))
257;(x | y);(~ ((~ (x | (x & y))) & (~ y)))
258;(x | y);((~ ((~ x) | y)) ^ y)
259;(x | y);(~ (~ (x | (~ (~ ((x ^ y) | y))))))
260;(x | y);(~ (((~ x) ^ y) & (~ (x | y))))
261;(x | y);((x ^ ((x ^ y) & y)) | y)
262;(x | y);(~ ((~ x) & ((x ^ (~ x)) + (- y))))
263;(x | y);((~ ((~ x) & (x ^ (~ x)))) | y)
264;(x | y);(x ^ (~ (x | (~ (x | (x | y))))))
265;(x | y);(~ ((~ x) & (~ ((x ^ y) | y))))
266;(x | y);((x & (~ (x & (x & y)))) ^ y)
267;(x | y);(x | ((- (~ (x | (~ x)))) | y))
268;(x | y);(x | ((x + (- (x + (- y)))) | y))
269;(x | y);(~ (~ ((- ((- x) + (x & y))) | y)))
270;(x | y);(((~ x) ^ y) ^ (~ (x & y)))
271;(x | y);(x | ((x & (x | y)) | y))
272;(x | y);((~ ((~ x) & (~ y))) | (x ^ y))
273;(x | y);(~ ((~ ((~ x) | y)) ^ (~ y)))
274;(x | y);(x | (~ (~ ((~ x) & y))))
275;(x | y);(~ (x ^ (~ ((- x) + (x | y)))))
276;(x | y);(((~ (x | y)) ^ (~ y)) + y)
277;(x | y);(~ (((~ x) | y) ^ y))
278;(x | y);((- (~ (x + (~ x)))) + (x | y))
279;(x | y);(- ((- ((x | y) + y)) + y))
280;(x | y);(~ (~ ((x ^ (~ (x | (~ x)))) | y)))
281;(x | y);(~ ((~ (x & (x | (~ y)))) & (~ y)))
282;(x | y);(~ (~ ((x + (y & (~ y))) | y)))
283;(x | y);((x & (~ (x & y))) | (x | y))
284;(x | y);((~ x) ^ (x | ((~ x) ^ y)))
285;(x | y);(x | (y | (~ ((~ y) | (- y)))))
286;(x | y);((- (x | (- x))) | (x | y))
287;(x | y);(x | (- ((- (~ (x & y))) + (~ y))))
288;(x | y);(((~ (~ (x | y))) | y) | y)
289;(x | y);(x | (x | (x | y)))
290;(x | y);(x + (- (x + (- (~ ((~ x) & (~ y)))))))
291;(x | y);(x + ((~ (x & y)) ^ (~ y)))
292;(x | y);((- x) + (x + (x | (x | y))))
293;(x | y);((x | y) | (~ ((~ (x & y)) | y)))
294;(x | y);(~ (((~ (x | y)) + y) & (~ y)))
295;(x | y);(~ (((~ (x | y)) + (- y)) + y))
296;(x | y);(((x & y) + (x ^ y)) | y)
297;(x | y);((x ^ y) ^ (~ (~ (x & y))))
298;(x | y);(~ ((~ (x & (x ^ y))) ^ y))
299;(x | y);(~ (~ ((x | y) | (x & y))))
300;(x | y);((~ (x + ((~ x) + (- x)))) | y)
301;(x | y);(x | (((x | y) ^ y) ^ y))
302;(x | y);(~ ((~ ((- x) & y)) & (~ (x | y))))
303;(x | y);(x | (~ (~ ((x ^ y) & y))))
304;(x | y);(x | ((~ x) + (- ((- x) + (~ y)))))
305;(x | y);(x + (- ((- (~ x)) + (~ (x | y)))))
306;(x | y);(x | (~ ((x & (~ y)) | (~ y))))
307;(x | y);((~ ((~ x) & (x ^ (~ y)))) | y)
308;(x | y);(x | ((x ^ (x & y)) + y))
309;(x | y);(x | ((x & (y + y)) ^ y))
310;(x | y);((~ (- (x & (~ y)))) + (- (~ y)))
311;(x | y);(~ ((~ (~ ((~ (x | y)) | y))) ^ y))
312;(x | y);(x ^ (x ^ ((x | y) | y)))
313;(x | y);(~ (~ (x | y)))
314;(x | y);(~ ((x | y) ^ (y + (~ y))))
315;(x | y);(~ (~ (x | ((~ (x | (~ x))) | y))))
316;(x | y);(x | (~ ((~ (x & (- x))) & (~ y))))
317;(x | y);(x | ((~ y) ^ (y | (~ y))))
318;(x | y);(~ ((- x) + (~ ((~ (x & y)) & y))))
319;(x | y);((- ((- (x | y)) + y)) ^ y)
320;(x | y);(~ (((~ (x & (~ y))) | y) ^ y))
321;(x | y);((x + (- ((x & y) & y))) + y)
322;(x | y);(~ ((~ x) ^ ((x ^ y) & y)))
323;(x | y);(~ ((~ x) & (~ ((- y) + (y + y)))))
324;(x | y);(~ ((~ x) & (x | (~ y))))
325;(x | y);(~ (~ (x | (y + (~ (y | (~ y)))))))
326;(x | y);(x | ((x & ((- x) + y)) ^ y))
327;(x | y);(x | ((~ ((~ (x & y)) | y)) | y))
328;(x | y);((~ ((~ x) & (~ y))) | (x & y))
329;(x | y);(~ (((~ x) & (~ (x | y))) & (~ y)))
330;(x | y);(((~ (~ (x & (~ y)))) | y) | y)
331;(x | y);(x + ((~ x) & ((~ x) & y)))
332;(x | y);(~ (~ ((~ (~ ((x ^ y) | y))) | y)))
333;(x | y);(x | (~ ((~ ((~ x) & y)) + (- x))))
334;(x | y);(((x | (x | y)) + y) + (- y))
335;(x | y);((((x | y) | y) ^ y) + y)
336;(x | y);(((x | y) + y) + (- y))
337;(x | y);(x | ((~ ((~ x) | y)) + y))
338;(x | y);((~ ((~ x) | (~ y))) + (x ^ y))
339;(x | y);(~ ((~ (x | y)) ^ (y & (~ y))))
340;(x | y);(~ ((~ (x & (~ (~ (x | y))))) & (~ y)))
341;(x | y);(x + (~ (x | (x | (~ (x | y))))))
342;(x | y);(~ (((~ (x | y)) | y) + (- y)))
343;(x | y);(x ^ (~ ((x ^ (~ y)) | (~ y))))
344;(x | y);(x | (~ (y ^ (y | (~ y)))))
345;(x | y);((x & (x | (~ (x | y)))) | y)
346;(x | y);(x | (y ^ (~ (y | (~ y)))))
347;(x | y);((x | (- (~ (y | (~ y))))) | y)
348;(x | y);(~ ((x ^ (~ (y & (~ y)))) & (~ y)))
349;(x | y);((~ ((~ x) & (~ (y & (~ y))))) | y)
350;(x | y);((x & (~ (x & (~ x)))) | y)
351;(x | y);(~ (((x ^ (~ y)) | y) ^ y))
352;(x | y);(~ ((~ x) & ((~ (x & (- x))) ^ y)))
353;(x | y);(x | (x | (x | (x ^ y))))
354;(x | y);(x ^ (((~ x) | (~ y)) & y))
355;(x | y);(~ ((~ ((x & y) | y)) & (~ (x | y))))
356;(x | y);(~ ((~ (x & (x ^ (~ x)))) & (~ y)))
357;(x | y);(x | (~ (~ ((~ (x & (- y))) & y))))
358;(x | y);(((~ ((~ x) | y)) ^ y) | y)
359;(x | y);((x + (~ (~ (x & (~ x))))) | y)
360;(x | y);((x & ((- ((- x) + y)) + y)) | y)
361;(x | y);(~ ((x + (~ (x + x))) & (~ y)))
362;(x | y);(~ (~ ((x & (x & (~ y))) | y)))
363;(x | y);((~ (x + (~ x))) + (x | y))
364;(x | y);(~ (x + ((- x) + (~ (x | y)))))
365;(x | y);(~ (~ (((x & (~ y)) + y) | y)))
366;(x | y);(x ^ ((~ (x | (~ y))) & y))
367;(x | y);(x | (y | (~ (y ^ (~ y)))))
368;(x | y);(x | ((x ^ (x & y)) ^ y))
369;(x | y);((((x ^ y) | y) + (- y)) + y)
370;(x | y);((- (~ x)) + (~ (- (~ (x | (~ y))))))
371;(x | y);((x | y) | (x & (y + y)))
372;(x | y);(~ ((~ (x & (x ^ y))) + (- y)))
373;(x | y);((x | ((~ x) & y)) | y)
374;(x | y);(x | ((~ (x & (- y))) & y))
375;(x | y);(x | (~ ((x ^ (~ x)) ^ y)))
376;(x | y);((x + (~ ((~ (x & y)) | y))) | y)
377;(x | y);((x & (~ ((- (~ x)) & y))) | y)
378;(x | y);((x | y) ^ (~ ((~ (x & y)) | y)))
379;(x | y);((x & (~ (x & (x & y)))) | y)
380;(x | y);(x | ((~ ((~ x) ^ y)) & y))
381;(x | y);(~ ((- x) + (~ ((- x) + (x | y)))))
382;(x | y);(~ (~ (x | (y + (y & (~ y))))))
383;(x | y);((~ (~ (x & (~ y)))) ^ y)
384;(x | y);(x | (y | ((- y) + (y + y))))
385;(x | y);((~ (~ (x | y))) + (~ (y | (~ y))))
386;(x | y);((x | (x & y)) | (x | y))
387;(x | y);((~ (x & (~ x))) ^ (~ (x | y)))
388;(x | y);((x | (~ (~ ((~ x) & y)))) | y)
389;(x | y);(x | (((x ^ y) + (- y)) + y))
390;(x | y);((x | (x & (x ^ y))) | y)
391;(x | y);(x | (~ (y + (~ (y + y)))))
392;(x | y);(x | (- (~ ((~ (x & y)) + y))))
393;(x | y);((x | y) & ((x | y) | y))
394;(x | y);((~ (~ (x | (y & (~ y))))) | y)
395;(x | y);(~ (((~ (x & (~ y))) | y) & (~ y)))
396;(x | y);(~ ((~ x) & (~ (x ^ y))))
397;(x | y);(~ ((~ (x & (~ (x & y)))) & (~ y)))
398;(x | y);(~ (((~ x) | y) & (~ (x | y))))
399;(x | y);((x | (- (x & (~ x)))) | y)
400;(x | y);(~ ((x & (~ x)) | (~ (x | y))))
401;(x | y);(~ (((x ^ (~ y)) | y) + (- y)))
402;(x | y);(((- (~ x)) + (~ (x & y))) ^ y)
403;(x | y);(~ ((~ (x | y)) & (x ^ (~ y))))
404;(x | y);(~ (~ (x | (~ ((~ (x | y)) & (~ y))))))
405;(x | y);(x | (x ^ (x + ((- x) + y))))
406;(x | y);((x & (~ x)) | (x | y))
407;(x | y);(~ (~ (x | (x ^ (~ (x | (~ y)))))))
408;(x | y);(x + (~ ((~ ((~ x) & y)) | (~ y))))
409;(x | y);((x + (~ (x + (~ x)))) | y)
410;(x | y);((~ ((x ^ (~ y)) | y)) ^ y)
411;(x | y);(~ ((~ x) & (~ ((~ (x & y)) & y))))
412;(x | y);((x | (~ ((~ x) | (- x)))) | y)
413;(x | y);((~ (~ (x & (x ^ (~ x))))) | y)
414;(x | y);((((x | y) + (- y)) ^ y) | y)
415;(x | y);((x | y) | (~ (x | (~ y))))
416;(x | y);(x | (~ (((~ x) | y) ^ y)))
417;(x | y);(x | ((~ (x | (~ (x & y)))) + y))
418;(x | y);((~ (~ (x | ((~ x) & y)))) | y)
419;(x | y);(~ (~ ((x ^ y) | (~ (~ (x | y))))))
420;(x | y);(~ ((~ (x | (x | y))) & (~ (x & y))))
421;(x | y);((((x ^ y) | y) + y) + (- y))
422;(x | y);(((~ (~ (x | y))) & (~ y)) + y)
423;(x | y);(x | (y + (- (~ (y + (~ y))))))
424;(x | y);(~ ((- x) + (x + (~ (x | y)))))
425;(x | y);(~ ((~ x) & ((~ (x & (~ x))) ^ y)))
426;(x | y);((x ^ ((- x) & y)) | y)
427;(x | y);(x | ((~ (x & (~ x))) ^ (~ y)))
428;(x | y);(~ ((~ (x | y)) & (y + (~ y))))
429;(x | y);((x | y) | (~ (y ^ (~ y))))
430;(x | y);(~ ((x | (~ (x | y))) & (~ (x | y))))
431;(x | y);(~ (~ (x | ((~ (~ (x | y))) | y))))
432;(x | y);(x | ((~ x) ^ (~ (x | y))))
433;(x | y);(~ ((~ (x | y)) & (~ y)))
434;(x | y);(~ (~ ((~ ((~ (x & (~ y))) | y)) | y)))
435;(x | y);(~ ((x & (~ x)) ^ (~ (x | y))))
436;(x | y);(((~ (x | y)) ^ (~ y)) | y)
437;(x | y);(~ ((~ (x & (x & (~ y)))) ^ y))
438;(x | y);(~ (~ (x | ((~ x) & (x ^ y)))))
439;(x | y);(x | (x | ((x & y) ^ y)))
440;(x | y);(x | (~ ((~ ((~ x) & y)) & (~ y))))
441;(x | y);((~ ((~ x) | ((- x) & y))) | y)
442;(x | y);(x | (y + (~ (y | (~ y)))))
443;(x | y);((~ ((~ (x & (~ y))) ^ y)) | y)
444;(x | y);(((~ ((~ x) + (- y))) + (- y)) | y)
445;(x | y);(x ^ ((~ x) & (x ^ y)))
446;(x | y);(x + ((- x) + (x | y)))
447;(x | y);((x ^ (x + ((- x) + y))) | y)
448;(x | y);((~ ((~ (x | y)) ^ y)) ^ y)
449;(x | y);(x + ((x & y) ^ y))
450;(x | y);(~ ((- x) + (~ (x ^ (x | y)))))
451;(x | y);(x | (x ^ (x | (x ^ y))))
452;(x | y);(x | ((x | y) | (x ^ y)))
453;(x | y);(~ (((~ x) & (~ y)) & (~ y)))
454;(x | y);((x ^ (x & y)) ^ y)
455;(x | y);(~ (x ^ (~ (~ (x | (~ (x | y)))))))
456;(x | y);(~ (~ ((~ (~ (x & (x ^ y)))) | y)))
457;(x | y);(~ ((x & (~ (x & y))) ^ (~ y)))
458;(x | y);(~ ((~ (x & (x | (~ x)))) & (~ y)))
459;(x | y);((x & (~ y)) + y)
460;(x | y);((~ (x & (~ (x | y)))) + (- (~ (x | y))))
461;(x | y);(x + (- ((x & y) + (- y))))
462;(x | y);(x ^ ((~ x) & (x | y)))
463;(x | y);(~ (((~ (x | y)) | y) & (~ y)))
