#number;groundtruth;mba
11;(((-d)+(((b|b)&d)|(b*b))));((~ d + 1) - ~ ((((~ ((b & ~ b) + b) | d) - ~ ((b & ~ b) + b)) & ~ ((b & b) * (b | b) + (b & ~ b) * (~ b & b))) + ((b & b) * (b | b) + (b & ~ b) * (~ b & b)))) - 1
12;(((((d*d)-(d|e))*((e-e)*d))-(d&(d|(-e)))));(((((((d & d) * (d | d) + (d & ~ d) * (~ d & d)) ^ (((d + e) + 1) + ((- d - 1) | (- e - 1)))) - ((~ ((d & d) * (d | d) + (d & ~ d) * (~ d & d)) & (((d + e) + 1) + ((- d - 1) | (- e - 1)))) + (~ ((d & d) * (d | d) + (d & ~ d) * (~ d & d)) & (((d + e) + 1) + ((- d - 1) | (- e - 1)))))) & (((((e & ~ e) << 1) - (e ^ e)) & d) * ((((e & ~ e) << 1) - (e ^ e)) | d) + ((((e & ~ e) << 1) - (e ^ e)) & ~ d) * (~ (((e & ~ e) << 1) - (e ^ e)) & d))) * (((((d & d) * (d | d) + (d & ~ d) * (~ d & d)) ^ (((d + e) + 1) + ((- d - 1) | (- e - 1)))) - ((~ ((d & d) * (d | d) + (d & ~ d) * (~ d & d)) & (((d + e) + 1) + ((- d - 1) | (- e - 1)))) + (~ ((d & d) * (d | d) + (d & ~ d) * (~ d & d)) & (((d + e) + 1) + ((- d - 1) | (- e - 1)))))) | (((((e & ~ e) << 1) - (e ^ e)) & d) * ((((e & ~ e) << 1) - (e ^ e)) | d) + ((((e & ~ e) << 1) - (e ^ e)) & ~ d) * (~ (((e & ~ e) << 1) - (e ^ e)) & d))) + (((((d & d) * (d | d) + (d & ~ d) * (~ d & d)) ^ (((d + e) + 1) + ((- d - 1) | (- e - 1)))) - ((~ ((d & d) * (d | d) + (d & ~ d) * (~ d & d)) & (((d + e) + 1) + ((- d - 1) | (- e - 1)))) + (~ ((d & d) * (d | d) + (d & ~ d) * (~ d & d)) & (((d + e) + 1) + ((- d - 1) | (- e - 1)))))) & ~ (((((e & ~ e) << 1) - (e ^ e)) & d) * ((((e & ~ e) << 1) - (e ^ e)) | d) + ((((e & ~ e) << 1) - (e ^ e)) & ~ d) * (~ (((e & ~ e) << 1) - (e ^ e)) & d))) * (~ ((((d & d) * (d | d) + (d & ~ d) * (~ d & d)) ^ (((d + e) + 1) + ((- d - 1) | (- e - 1)))) - ((~ ((d & d) * (d | d) + (d & ~ d) * (~ d & d)) & (((d + e) + 1) + ((- d - 1) | (- e - 1)))) + (~ ((d & d) * (d | d) + (d & ~ d) * (~ d & d)) & (((d + e) + 1) + ((- d - 1) | (- e - 1)))))) & (((((e & ~ e) << 1) - (e ^ e)) & d) * ((((e & ~ e) << 1) - (e ^ e)) | d) + ((((e & ~ e) << 1) - (e ^ e)) & ~ d) * (~ (((e & ~ e) << 1) - (e ^ e)) & d)))) + ~ ((~ d | (((d + (~ e + 1)) + 1) + ((- d - 1) | (- (~ e + 1) - 1)))) - ~ d)) + 1
13;((((~(a+(b*b)))*(b|b))&((b*b)^(b+b))));(~ (((- (((a ^ ~ ((b & b) * (b | b) + (b & ~ b) * (~ b & b))) + ((a | ((b & b) * (b | b) + (b & ~ b) * (~ b & b))) << 1)) + 1) - 1) & ((b & ~ b) + b)) * ((- (((a ^ ~ ((b & b) * (b | b) + (b & ~ b) * (~ b & b))) + ((a | ((b & b) * (b | b) + (b & ~ b) * (~ b & b))) << 1)) + 1) - 1) | ((b & ~ b) + b)) + ((- (((a ^ ~ ((b & b) * (b | b) + (b & ~ b) * (~ b & b))) + ((a | ((b & b) * (b | b) + (b & ~ b) * (~ b & b))) << 1)) + 1) - 1) & ~ ((b & ~ b) + b)) * (~ (- (((a ^ ~ ((b & b) * (b | b) + (b & ~ b) * (~ b & b))) + ((a | ((b & b) * (b | b) + (b & ~ b) * (~ b & b))) << 1)) + 1) - 1) & ((b & ~ b) + b))) | (((((b & b) * (b | b) + (b & ~ b) * (~ b & b)) - ((b | b) + (b & b))) - ((((b & b) * (b | b) + (b & ~ b) * (~ b & b)) | ~ ((b | b) + (b & b))) + (((b & b) * (b | b) + (b & ~ b) * (~ b & b)) | ~ ((b | b) + (b & b))))) - 2)) - ~ (((- (((a ^ ~ ((b & b) * (b | b) + (b & ~ b) * (~ b & b))) + ((a | ((b & b) * (b | b) + (b & ~ b) * (~ b & b))) << 1)) + 1) - 1) & ((b & ~ b) + b)) * ((- (((a ^ ~ ((b & b) * (b | b) + (b & ~ b) * (~ b & b))) + ((a | ((b & b) * (b | b) + (b & ~ b) * (~ b & b))) << 1)) + 1) - 1) | ((b & ~ b) + b)) + ((- (((a ^ ~ ((b & b) * (b | b) + (b & ~ b) * (~ b & b))) + ((a | ((b & b) * (b | b) + (b & ~ b) * (~ b & b))) << 1)) + 1) - 1) & ~ ((b & ~ b) + b)) * (~ (- (((a ^ ~ ((b & b) * (b | b) + (b & ~ b) * (~ b & b))) + ((a | ((b & b) * (b | b) + (b & ~ b) * (~ b & b))) << 1)) + 1) - 1) & ((b & ~ b) + b)))
14;((((d+d)^a)+(((d&d)-a)+(a|a))));(((((d | d) + (d & d)) | a) - (((d | d) + (d & d)) & a)) - ~ ((((((((~ d | d) + d) + 1) ^ a) - ((~ (((~ d | d) + d) + 1) & a) << 1)) ^ ~ (((a + a) + 1) + ((- a - 1) | (- a - 1)))) + (((((((~ d | d) + d) + 1) ^ a) - ((~ (((~ d | d) + d) + 1) & a) << 1)) | (((a + a) + 1) + ((- a - 1) | (- a - 1)))) << 1)) + 1)) - 1
15;(((b|(e|b))+(b|b)));((((b + (((e + b) + 1) + ((- e - 1) | (- b - 1)))) + 1) + ((- b - 1) | (- (((e + b) + 1) + ((- e - 1) | (- b - 1))) - 1))) ^ ((b & ~ b) + b)) + (((((b + (((e + b) + 1) + ((- e - 1) | (- b - 1)))) + 1) + ((- b - 1) | (- (((e + b) + 1) + ((- e - 1) | (- b - 1))) - 1))) & ((b & ~ b) + b)) << 1)
16;(((~((e*a)^d))&((~(a+d))*(e|e))));((~ ((((e & a) * (e | a) + (e & ~ a) * (~ e & a)) & d) + ~ (((e & a) * (e | a) + (e & ~ a) * (~ e & a)) | d)) | (((- (((a ^ ~ d) + ((a | d) << 1)) + 1) - 1) & (((e + e) + 1) + ((- e - 1) | (- e - 1)))) * ((- (((a ^ ~ d) + ((a | d) << 1)) + 1) - 1) | (((e + e) + 1) + ((- e - 1) | (- e - 1)))) + ((- (((a ^ ~ d) + ((a | d) << 1)) + 1) - 1) & ~ (((e + e) + 1) + ((- e - 1) | (- e - 1)))) * (~ (- (((a ^ ~ d) + ((a | d) << 1)) + 1) - 1) & (((e + e) + 1) + ((- e - 1) | (- e - 1)))))) + ((((e & a) * (e | a) + (e & ~ a) * (~ e & a)) & d) + ~ (((e & a) * (e | a) + (e & ~ a) * (~ e & a)) | d))) + 1
17;((((~e)^d)&(d&(~(c-(d|e))))));(~ ((((- e - 1) - d) - (((- e - 1) | ~ d) << 1)) - 2) | ((d | ((c + ~ (((d + e) + 1) + ((- d - 1) | (- e - 1)))) + 1)) - ((c + ~ (((d + e) + 1) + ((- d - 1) | (- e - 1)))) + 1))) - ~ ((((- e - 1) - d) - (((- e - 1) | ~ d) << 1)) - 2)
18;((-(~(((a+d)+b)+(d^(a&b))))));(((((((a | d) + (a & d)) | b) << 1) - (((a | d) + (a & d)) ^ b)) - ~ ((d | (((~ a | b) + a) + 1)) - (d & (((~ a | b) + a) + 1)))) - 1) + 1
19;(((((b+(-b))|b)|(b*b))|((d^b)-b)));((((((((((b | (~ b + 1)) + (b & (~ b + 1))) + b) + 1) + ((- ((b | (~ b + 1)) + (b & (~ b + 1))) - 1) | (- b - 1))) + ((b & b) * (b | b) + (b & ~ b) * (~ b & b))) + 1) + ((- (((((b | (~ b + 1)) + (b & (~ b + 1))) + b) + 1) + ((- ((b | (~ b + 1)) + (b & (~ b + 1))) - 1) | (- b - 1))) - 1) | (- ((b & b) * (b | b) + (b & ~ b) * (~ b & b)) - 1))) + ((((d | b) - (d & b)) & ~ b) - (~ ((d | b) - (d & b)) & b))) + 1) + ((- ((((((((b | (~ b + 1)) + (b & (~ b + 1))) + b) + 1) + ((- ((b | (~ b + 1)) + (b & (~ b + 1))) - 1) | (- b - 1))) + ((b & b) * (b | b) + (b & ~ b) * (~ b & b))) + 1) + ((- (((((b | (~ b + 1)) + (b & (~ b + 1))) + b) + 1) + ((- ((b | (~ b + 1)) + (b & (~ b + 1))) - 1) | (- b - 1))) - 1) | (- ((b & b) * (b | b) + (b & ~ b) * (~ b & b)) - 1))) - 1) | (- ((((d | b) - (d & b)) & ~ b) - (~ ((d | b) - (d & b)) & b)) - 1))
20;(((a|a)^(-(e*(e-b)))));(((((a + a) + 1) + ((- a - 1) | (- a - 1))) - ~ (((e & ((e ^ b) - ((~ e & b) << 1))) * (e | ((e ^ b) - ((~ e & b) << 1))) + (e & ~ ((e ^ b) - ((~ e & b) << 1))) * (~ e & ((e ^ b) - ((~ e & b) << 1)))) - 1)) - (((((a + a) + 1) + ((- a - 1) | (- a - 1))) | ~ (~ (((e & ((e ^ b) - ((~ e & b) << 1))) * (e | ((e ^ b) - ((~ e & b) << 1))) + (e & ~ ((e ^ b) - ((~ e & b) << 1))) * (~ e & ((e ^ b) - ((~ e & b) << 1)))) - 1))) << 1)) - 2
21;(((a^(-(a&c)))|(-(a^a))));((((a | (~ ((~ a | c) - ~ a) + 1)) - (a & (~ ((~ a | c) - ~ a) + 1))) + (~ (((a - a) - ((a | ~ a) + (a | ~ a))) - 2) + 1)) + 1) + ((- ((a | (~ ((~ a | c) - ~ a) + 1)) - (a & (~ ((~ a | c) - ~ a) + 1))) - 1) | (- (~ (((a - a) - ((a | ~ a) + (a | ~ a))) - 2) + 1) - 1))
22;((((d&c)+(-(c*a)))^(-((d-(~c))-(-c)))));((((((~ d | c) - ~ d) ^ ~ (~ ((c & a) * (c | a) + (c & ~ a) * (~ c & a)) + 1)) + ((((~ d | c) - ~ d) | (~ ((c & a) * (c | a) + (c & ~ a) * (~ c & a)) + 1)) << 1)) + 1) | (~ ((((d + ~ (- c - 1)) + 1) & ~ (~ (c - 1))) - (~ ((d + ~ (- c - 1)) + 1) & ~ (c - 1))) + 1)) - ((((((~ d | c) - ~ d) ^ ~ (~ ((c & a) * (c | a) + (c & ~ a) * (~ c & a)) + 1)) + ((((~ d | c) - ~ d) | (~ ((c & a) * (c | a) + (c & ~ a) * (~ c & a)) + 1)) << 1)) + 1) & (~ ((((d + ~ (- c - 1)) + 1) & ~ (~ (c - 1))) - (~ ((d + ~ (- c - 1)) + 1) & ~ (c - 1))) + 1))
23;((((((e&e)^c)-e)|(a|(a&e)))^(a+((e|c)|e))));((((((((((((~ e | e) + e) + 1) | c) - ((((~ e | e) + e) + 1) & c)) + ~ e) + 1) + (((a + (((~ a | e) + a) + 1)) + 1) + ((- a - 1) | (- (((~ a | e) + a) + 1) - 1)))) + 1) + ((- (((((((~ e | e) + e) + 1) | c) - ((((~ e | e) + e) + 1) & c)) + ~ e) + 1) - 1) | (- (((a + (((~ a | e) + a) + 1)) + 1) + ((- a - 1) | (- (((~ a | e) + a) + 1) - 1))) - 1))) - (((a | ((((e & ~ c) + c) & ~ e) + e)) + (a | ((((e & ~ c) + c) & ~ e) + e))) - (a ^ ((((e & ~ c) + c) & ~ e) + e)))) - ((((((((((((~ e | e) + e) + 1) | c) - ((((~ e | e) + e) + 1) & c)) + ~ e) + 1) + (((a + (((~ a | e) + a) + 1)) + 1) + ((- a - 1) | (- (((~ a | e) + a) + 1) - 1)))) + 1) + ((- (((((((~ e | e) + e) + 1) | c) - ((((~ e | e) + e) + 1) & c)) + ~ e) + 1) - 1) | (- (((a + (((~ a | e) + a) + 1)) + 1) + ((- a - 1) | (- (((~ a | e) + a) + 1) - 1))) - 1))) | ~ (((a | ((((e & ~ c) + c) & ~ e) + e)) + (a | ((((e & ~ c) + c) & ~ e) + e))) - (a ^ ((((e & ~ c) + c) & ~ e) + e)))) << 1)) - 2
24;((((d|d)^c)-(-(c|(-(d+(a-d)))))));((((((d + d) + 1) + ((- d - 1) | (- d - 1))) | c) - ((((d + d) + 1) + ((- d - 1) | (- d - 1))) & c)) + ~ (~ ((((c + (~ ((d | (((a & ~ d) << 1) - (a ^ d))) + (d & (((a & ~ d) << 1) - (a ^ d)))) + 1)) + 1) + ((- c - 1) | (- (~ ((d | (((a & ~ d) << 1) - (a ^ d))) + (d & (((a & ~ d) << 1) - (a ^ d)))) + 1) - 1))) - 1))) + 1
25;(((((c+c)|d)+(d|d))|(~(c|(c|d)))));(((((((((c | c) + (c & c)) + d) + 1) + ((- ((c | c) + (c & c)) - 1) | (- d - 1))) - ~ ((d & ~ d) + d)) - 1) + (- ((c & ~ (((c + d) + 1) + ((- c - 1) | (- d - 1)))) + (((c + d) + 1) + ((- c - 1) | (- d - 1)))) - 1)) + 1) + ((- (((((((c | c) + (c & c)) + d) + 1) + ((- ((c | c) + (c & c)) - 1) | (- d - 1))) - ~ ((d & ~ d) + d)) - 1) - 1) | (- (- ((c & ~ (((c + d) + 1) + ((- c - 1) | (- d - 1)))) + (((c + d) + 1) + ((- c - 1) | (- d - 1)))) - 1) - 1))
26;((((~(a*d))*(d+a))-(~((c+c)-((d-a)^d)))));((((- ((a & d) * (a | d) + (a & ~ d) * (~ a & d)) - 1) & (((d ^ ~ a) + ((d | a) << 1)) + 1)) * ((- ((a & d) * (a | d) + (a & ~ d) * (~ a & d)) - 1) | (((d ^ ~ a) + ((d | a) << 1)) + 1)) + ((- ((a & d) * (a | d) + (a & ~ d) * (~ a & d)) - 1) & ~ (((d ^ ~ a) + ((d | a) << 1)) + 1)) * (~ (- ((a & d) * (a | d) + (a & ~ d) * (~ a & d)) - 1) & (((d ^ ~ a) + ((d | a) << 1)) + 1))) ^ (~ ((c ^ c) + ((c & c) + (c & c))) + (((((d & ~ a) - (~ d & a)) - d) - ((((d & ~ a) - (~ d & a)) | ~ d) << 1)) - 2))) - ((~ (((- ((a & d) * (a | d) + (a & ~ d) * (~ a & d)) - 1) & (((d ^ ~ a) + ((d | a) << 1)) + 1)) * ((- ((a & d) * (a | d) + (a & ~ d) * (~ a & d)) - 1) | (((d ^ ~ a) + ((d | a) << 1)) + 1)) + ((- ((a & d) * (a | d) + (a & ~ d) * (~ a & d)) - 1) & ~ (((d ^ ~ a) + ((d | a) << 1)) + 1)) * (~ (- ((a & d) * (a | d) + (a & ~ d) * (~ a & d)) - 1) & (((d ^ ~ a) + ((d | a) << 1)) + 1))) & (~ ((c ^ c) + ((c & c) + (c & c))) + (((((d & ~ a) - (~ d & a)) - d) - ((((d & ~ a) - (~ d & a)) | ~ d) << 1)) - 2))) << 1)
27;((((e-(e|(~e)))-d)*(((b-b)|b)-(b+(-d)))));(((((e & ~ ((e & ~ (- e - 1)) + (- e - 1))) - (~ e & ((e & ~ (- e - 1)) + (- e - 1)))) ^ d) - ((~ ((e & ~ ((e & ~ (- e - 1)) + (- e - 1))) - (~ e & ((e & ~ (- e - 1)) + (- e - 1)))) & d) + (~ ((e & ~ ((e & ~ (- e - 1)) + (- e - 1))) - (~ e & ((e & ~ (- e - 1)) + (- e - 1)))) & d))) & ((((((((b & ~ b) - (~ b & b)) + b) + 1) + ((- ((b & ~ b) - (~ b & b)) - 1) | (- b - 1))) & ~ ((b - ~ (~ (d - 1))) - 1)) + ((((((b & ~ b) - (~ b & b)) + b) + 1) + ((- ((b & ~ b) - (~ b & b)) - 1) | (- b - 1))) & ~ ((b - ~ (~ (d - 1))) - 1))) - ((((((b & ~ b) - (~ b & b)) + b) + 1) + ((- ((b & ~ b) - (~ b & b)) - 1) | (- b - 1))) ^ ((b - ~ (~ (d - 1))) - 1)))) * (((((e & ~ ((e & ~ (- e - 1)) + (- e - 1))) - (~ e & ((e & ~ (- e - 1)) + (- e - 1)))) ^ d) - ((~ ((e & ~ ((e & ~ (- e - 1)) + (- e - 1))) - (~ e & ((e & ~ (- e - 1)) + (- e - 1)))) & d) + (~ ((e & ~ ((e & ~ (- e - 1)) + (- e - 1))) - (~ e & ((e & ~ (- e - 1)) + (- e - 1)))) & d))) | ((((((((b & ~ b) - (~ b & b)) + b) + 1) + ((- ((b & ~ b) - (~ b & b)) - 1) | (- b - 1))) & ~ ((b - ~ (~ (d - 1))) - 1)) + ((((((b & ~ b) - (~ b & b)) + b) + 1) + ((- ((b & ~ b) - (~ b & b)) - 1) | (- b - 1))) & ~ ((b - ~ (~ (d - 1))) - 1))) - ((((((b & ~ b) - (~ b & b)) + b) + 1) + ((- ((b & ~ b) - (~ b & b)) - 1) | (- b - 1))) ^ ((b - ~ (~ (d - 1))) - 1)))) + (((((e & ~ ((e & ~ (- e - 1)) + (- e - 1))) - (~ e & ((e & ~ (- e - 1)) + (- e - 1)))) ^ d) - ((~ ((e & ~ ((e & ~ (- e - 1)) + (- e - 1))) - (~ e & ((e & ~ (- e - 1)) + (- e - 1)))) & d) + (~ ((e & ~ ((e & ~ (- e - 1)) + (- e - 1))) - (~ e & ((e & ~ (- e - 1)) + (- e - 1)))) & d))) & ~ ((((((((b & ~ b) - (~ b & b)) + b) + 1) + ((- ((b & ~ b) - (~ b & b)) - 1) | (- b - 1))) & ~ ((b - ~ (~ (d - 1))) - 1)) + ((((((b & ~ b) - (~ b & b)) + b) + 1) + ((- ((b & ~ b) - (~ b & b)) - 1) | (- b - 1))) & ~ ((b - ~ (~ (d - 1))) - 1))) - ((((((b & ~ b) - (~ b & b)) + b) + 1) + ((- ((b & ~ b) - (~ b & b)) - 1) | (- b - 1))) ^ ((b - ~ (~ (d - 1))) - 1)))) * (~ ((((e & ~ ((e & ~ (- e - 1)) + (- e - 1))) - (~ e & ((e & ~ (- e - 1)) + (- e - 1)))) ^ d) - ((~ ((e & ~ ((e & ~ (- e - 1)) + (- e - 1))) - (~ e & ((e & ~ (- e - 1)) + (- e - 1)))) & d) + (~ ((e & ~ ((e & ~ (- e - 1)) + (- e - 1))) - (~ e & ((e & ~ (- e - 1)) + (- e - 1)))) & d))) & ((((((((b & ~ b) - (~ b & b)) + b) + 1) + ((- ((b & ~ b) - (~ b & b)) - 1) | (- b - 1))) & ~ ((b - ~ (~ (d - 1))) - 1)) + ((((((b & ~ b) - (~ b & b)) + b) + 1) + ((- ((b & ~ b) - (~ b & b)) - 1) | (- b - 1))) & ~ ((b - ~ (~ (d - 1))) - 1))) - ((((((b & ~ b) - (~ b & b)) + b) + 1) + ((- ((b & ~ b) - (~ b & b)) - 1) | (- b - 1))) ^ ((b - ~ (~ (d - 1))) - 1))))
